Model,Bank Marketing,Banknote Auth,Blood Transfusion,Climate Crashes,Diabetes (Pima),German Credit,Hill-Valley,Madelon,PC4 (Software Defect),QSAR Biodeg,Spambase,WBC (Breast Cancer),Global_Avg
knn1,0.8678570754173828,0.9999935352908472,0.6516869858261473,0.9113189055186006,0.8065267146317446,0.7446355599574485,0.5345962814103191,0.6066562315639465,0.8923469322309082,0.8933348126476895,0.9634910239533454,0.9907898370615852,0.8219361579591639
gaussian_nb,0.764574203795263,0.9593436659667033,0.7721315293884429,0.9490875215570339,0.8287357463224357,0.7330209823557463,0.5354295330523152,0.6438913745510142,0.845856167227812,0.8698483539775116,0.9484751296985197,0.9864858619504139,0.8197400058202676
bernoulli_nb1,0.7850313324460937,0.9070772530208572,0.6945418277331746,0.9312865956311079,0.7822732924116119,0.7803662435958573,0.5430227428683462,0.6312537299167225,0.8313690963559961,0.8673091190356989,0.9562806598591411,0.9745858906943058,0.8070331486307428
bernoulli_nb2,0.7849104420013185,0.9070772530208572,0.6945418277331746,0.930636137800772,0.7822732924116119,0.7800375077950186,0.5430227428683462,0.6312519561311448,0.8301241020780193,0.8664536229855294,0.9560456654990581,0.9744669698865461,0.8067367933509497
knn3,0.7969179300768179,0.9993438320209974,0.62122906135395,0.8380217058799376,0.7694181361867513,0.7232577063692944,0.5146635950723785,0.5593232324724443,0.8510955002239259,0.882712683531258,0.9513445900464023,0.9924755817820086,0.7916502962513471
decision_tree3,0.7747109469965586,0.9917726593759958,0.6400032213301615,0.7854359140182311,0.7495577689288481,0.6721359879192498,0.5465640623468287,0.7597312908204695,0.8039773439397356,0.8423936752994644,0.91420386731654,0.9509663020137632,0.7859544200254871
decision_tree1,0.8230122294405122,0.9870470995892249,0.6787962136980871,0.7337733534532315,0.7041019790961225,0.7074314038369831,0.5090922458582491,0.7429834470411819,0.8377207750117969,0.8033036594284182,0.9253055570247746,0.9104075432990099,0.7802479588981327
decision_tree4,0.7136467726288488,0.9859696797535197,0.5908930518386363,0.6676225414716269,0.6958656450317031,0.6461148099238229,0.5587564944613274,0.7402712653970837,0.7425864221791493,0.8251147844021584,0.8943652287857327,0.9301095085921692,0.7492763503721482
decision_tree5,0.6999115942447328,0.9788522251148627,0.5999876102686095,0.6822739591032274,0.6560521091895598,0.6083368793025445,0.5585808580858086,0.723079256287183,0.720788227196942,0.7913995597511573,0.8713464619385741,0.9179764863691956,0.7340487689043664
decision_tree2,0.6762896414753924,0.8546963766953066,0.6824264049955397,0.6851672209903917,0.665265586631289,0.6719210593888706,0.5123762376237625,0.6169279452822625,0.8360586382671938,0.6954902205299082,0.7502737062817002,0.8676608671637669,0.7095461587771155
